zipcode,base_total_capacity,new_build_capacity,expansion_capacity,total_after,desert_threshold,is_desert_after
00501,0.0,0.0,0.0,0.0,0.0,False
00544,0.0,0.0,0.0,0.0,0.0,False
06390,0.0,100.0,0.0,100.0,1.3333333333333333,False
10001,609.0,800.0,96.0,1505.0,697.7333333333332,False
10002,4729.0,1600.0,610.0000000000001,6939.0,3553.4,False
10003,1995.0,1600.0,160.0,3755.0,1015.2666666666667,False
10004,263.0,500.0,38.666666666666664,801.6666666666666,237.2,False
10005,39.0,800.0,0.0,839.0,412.7,False
10006,156.0,100.0,21.333333333333332,277.3333333333333,134.5,False
10007,284.0,800.0,3.3333333333333335,1087.3333333333333,410.0,False
10008,0.0,0.0,0.0,0.0,0.0,False
10009,1784.0,2000.0,245.99999999999974,4029.9999999999995,1551.6666666666665,False
10010,234.0,2000.0,0.0,2234.0,1194.2666666666667,False
10011,1956.0,1200.0,164.0,3320.0,1075.8,False
10012,24.0,900.0,0.0,924.0,339.4,False
10013,435.0,1600.0,32.66666666666667,2067.6666666666665,1060.8666666666666,False
10014,1711.0,400.0,201.0,2312.0,785.5,False
10016,823.0,2400.0,0.0,3223.0,1301.6666666666665,False
10017,107.0,400.0,0.0,507.0,254.6,False
10018,0.0,400.0,0.0,400.0,267.2,False
10019,591.0,1600.0,0.0,2191.0,1046.1,False
10020,44.0,0.0,0.0,44.0,0.0,False
10021,460.0,2400.0,0.0,2860.0,1445.7999999999997,False
10022,16.0,1700.0,0.0,1716.0,934.1999999999999,False
10023,1099.0,4400.0,165.33333333333334,5664.333333333333,2433.5333333333333,False
10024,1243.0,5200.0,198.99999999999955,6642.0,2951.333333333333,False
10025,2553.0,5200.0,308.3333333333333,8061.333333333333,3391.2666666666664,False
10026,1706.0,2800.0,63.3333333333331,4569.333333333333,1827.0666666666666,False
10027,3758.0,4000.0,423.99999999999994,8182.0,2951.5999999999995,False
10028,348.0,2200.0,10.0,2558.0,1632.7999999999997,False
10029,3358.0,4800.0,243.33333333333334,8401.333333333334,4836.9,False
10030,1272.0,2400.0,48.0,3720.0,2117.6,False
10031,1577.0,2800.0,172.66666666666669,4549.666666666667,3292.7,False
10032,3222.0,2400.0,292.0,5914.0,2954.1,False
10033,2893.0,4000.0,137.3333333333329,7030.333333333333,3622.3,False
10034,3126.0,2800.0,343.3333333333333,6269.333333333333,2902.4,False
10035,2075.0,2800.0,187.99999999999997,5063.0,2861.3,False
10036,686.0,800.0,22.666666666666668,1508.6666666666667,529.8666666666666,False
10037,586.0,1200.0,92.33333333333321,1878.3333333333333,1283.0,False
10038,802.0,800.0,94.66666666666667,1696.6666666666667,709.1999999999999,False
10039,1423.0,2400.0,65.33333333333334,3888.3333333333335,2316.0,False
10040,2594.0,2400.0,113.33333333333334,5107.333333333333,2825.0,False
10041,0.0,0.0,0.0,0.0,0.0,False
10043,0.0,0.0,0.0,0.0,0.0,False
10044,489.0,1200.0,26.0,1715.0,585.5999999999999,False
10045,0.0,0.0,0.0,0.0,0.0,False
10055,0.0,0.0,0.0,0.0,0.0,False
10060,0.0,0.0,0.0,0.0,0.0,False
10065,845.0,2800.0,46.666666666666664,3691.6666666666665,1366.7333333333331,False
10069,16.0,1000.0,0.0,1016.0,428.59999999999997,False
10075,235.0,1600.0,28.666666666666668,1863.6666666666667,840.1999999999999,False
10080,0.0,0.0,0.0,0.0,0.0,False
10081,0.0,0.0,0.0,0.0,0.0,False
10087,0.0,0.0,0.0,0.0,0.0,False
10090,0.0,0.0,0.0,0.0,0.0,False
10101,0.0,0.0,0.0,0.0,0.0,False
10102,0.0,0.0,0.0,0.0,0.0,False
10103,0.0,0.0,0.0,0.0,0.0,False
10104,0.0,0.0,0.0,0.0,0.0,False
10105,0.0,0.0,0.0,0.0,0.0,False
10106,0.0,0.0,0.0,0.0,0.0,False
10107,0.0,0.0,0.0,0.0,0.0,False
10108,0.0,0.0,0.0,0.0,0.0,False
10109,0.0,0.0,0.0,0.0,0.0,False
10110,0.0,0.0,0.0,0.0,0.0,False
10111,0.0,0.0,0.0,0.0,0.0,False
10112,0.0,0.0,0.0,0.0,0.0,False
10113,0.0,0.0,0.0,0.0,0.0,False
10114,0.0,0.0,0.0,0.0,0.0,False
10115,0.0,0.0,0.0,0.0,0.0,False
10116,0.0,0.0,0.0,0.0,0.0,False
10117,0.0,0.0,0.0,0.0,0.0,False
10118,0.0,0.0,0.0,0.0,0.0,False
10119,0.0,0.0,0.0,0.0,0.0,False
10120,0.0,0.0,0.0,0.0,0.0,False
10121,0.0,0.0,0.0,0.0,0.0,False
10122,0.0,0.0,0.0,0.0,0.0,False
10123,0.0,0.0,0.0,0.0,0.0,False
10124,0.0,0.0,0.0,0.0,0.0,False
10125,0.0,0.0,0.0,0.0,0.0,False
10126,0.0,0.0,0.0,0.0,0.0,False
10128,301.0,3700.0,10.666666666666666,4011.6666666666665,1886.3999999999999,False
10129,0.0,0.0,0.0,0.0,0.0,False
10130,0.0,0.0,0.0,0.0,0.0,False
10131,0.0,0.0,0.0,0.0,0.0,False
10132,0.0,0.0,0.0,0.0,0.0,False
10133,0.0,0.0,0.0,0.0,0.0,False
10138,0.0,0.0,0.0,0.0,0.0,False
10150,0.0,0.0,0.0,0.0,0.0,False
10151,0.0,0.0,0.0,0.0,0.0,False
10152,0.0,0.0,0.0,0.0,0.0,False
10153,0.0,0.0,0.0,0.0,0.0,False
10154,0.0,0.0,0.0,0.0,0.0,False
10155,0.0,0.0,0.0,0.0,0.0,False
10156,0.0,0.0,0.0,0.0,0.0,False
10157,0.0,0.0,0.0,0.0,0.0,False
10158,0.0,0.0,0.0,0.0,0.0,False
10159,0.0,0.0,0.0,0.0,0.0,False
10160,0.0,0.0,0.0,0.0,0.0,False
10161,0.0,0.0,0.0,0.0,0.0,False
10162,0.0,200.0,0.0,200.0,51.666666666666664,False
10163,0.0,0.0,0.0,0.0,0.0,False
10164,0.0,0.0,0.0,0.0,0.0,False
10165,0.0,0.0,0.0,0.0,0.0,False
10166,0.0,0.0,0.0,0.0,0.0,False
10167,0.0,0.0,0.0,0.0,0.0,False
10168,0.0,0.0,0.0,0.0,0.0,False
10169,0.0,0.0,0.0,0.0,0.0,False
10170,0.0,0.0,0.0,0.0,0.0,False
10171,0.0,0.0,0.0,0.0,0.0,False
10172,0.0,0.0,0.0,0.0,0.0,False
10173,0.0,0.0,0.0,0.0,0.0,False
10174,0.0,0.0,0.0,0.0,0.0,False
10175,0.0,0.0,0.0,0.0,0.0,False
10176,0.0,0.0,0.0,0.0,0.0,False
10177,0.0,0.0,0.0,0.0,0.0,False
10178,0.0,0.0,0.0,0.0,0.0,False
10179,0.0,0.0,0.0,0.0,0.0,False
10185,0.0,0.0,0.0,0.0,0.0,False
10199,0.0,0.0,0.0,0.0,0.0,False
10203,0.0,0.0,0.0,0.0,0.0,False
10211,0.0,0.0,0.0,0.0,0.0,False
10212,0.0,0.0,0.0,0.0,0.0,False
10213,0.0,0.0,0.0,0.0,0.0,False
10242,0.0,0.0,0.0,0.0,0.0,False
10249,0.0,0.0,0.0,0.0,0.0,False
10256,0.0,0.0,0.0,0.0,0.0,False
10258,0.0,0.0,0.0,0.0,0.0,False
10259,0.0,0.0,0.0,0.0,0.0,False
10260,0.0,0.0,0.0,0.0,0.0,False
10261,0.0,0.0,0.0,0.0,0.0,False
10265,0.0,0.0,0.0,0.0,0.0,False
10268,0.0,0.0,0.0,0.0,0.0,False
10269,0.0,0.0,0.0,0.0,0.0,False
10270,0.0,0.0,0.0,0.0,0.0,False
10271,0.0,0.0,0.0,0.0,0.0,False
10272,0.0,0.0,0.0,0.0,0.0,False
10273,0.0,0.0,0.0,0.0,0.0,False
10274,0.0,0.0,0.0,0.0,0.0,False
10275,0.0,0.0,0.0,0.0,0.0,False
10276,0.0,0.0,0.0,0.0,0.0,False
10277,0.0,0.0,0.0,0.0,0.0,False
10278,0.0,0.0,0.0,0.0,0.0,False
10279,0.0,0.0,0.0,0.0,0.0,False
10280,509.0,400.0,12.0,921.0,210.06666666666666,False
10281,0.0,0.0,0.0,0.0,0.0,False
10282,279.0,600.0,0.0,879.0,446.0,False
10285,0.0,0.0,0.0,0.0,0.0,False
10286,0.0,0.0,0.0,0.0,0.0,False
10301,1905.0,3200.0,243.33333333333334,5348.333333333333,2044.5333333333333,False
10302,744.0,1600.0,92.0,2436.0,1662.0,False
10303,1629.0,1600.0,41.33333333333333,3270.3333333333335,2152.3,False
10304,2020.0,2400.0,248.3333333333331,4668.333333333333,2310.133333333333,False
10305,786.0,2000.0,101.99999999999955,2887.9999999999995,1753.9333333333334,False
10306,578.0,3600.0,0.0,4178.0,2642.5999999999995,False
10307,259.0,1600.0,0.0,1859.0,735.3999999999999,False
10308,431.0,1400.0,37.33333333333333,1868.3333333333333,1296.1999999999998,False
103082215,0.0,0.0,0.0,0.0,0.0,False
10309,297.0,2600.0,0.0,2897.0,1791.8666666666668,False
10310,1168.0,2800.0,44.66666666666667,4012.6666666666665,1586.4666666666665,False
10311,123.0,0.0,0.0,123.0,0.0,False
10312,1140.0,4800.0,37.333333333333336,5977.333333333333,3362.333333333333,False
10313,0.0,0.0,0.0,0.0,0.0,False
