zip,new_small,new_medium,new_large,expansion_slots,new_u5_slots,supply_total,requirement,u5_req,u5_exist
06390,1,0,0,0,0,100,1.3333333333333333,0.0,0.0
10001,0,0,0,496,496,1105,697.7333333333332,496.0,0.0
10002,0,0,0,1410,1410,6139,3553.4,1428.0,18.0
10003,0,0,0,960,960,2955,1015.2666666666667,960.0,0.0
10004,1,0,0,239,289,602,237.2,288.66666666666663,0.0
10005,0,1,1,23,323,662,412.7,322.66666666666663,0.0
10006,0,0,0,72,72,228,134.5,85.33333333333333,14.0
10007,0,0,1,204,404,888,410.0,403.3333333333333,0.0
10009,0,0,0,1246,1246,3030,1551.6666666666665,1264.0,18.0
10010,0,0,4,148,948,1982,1194.2666666666667,948.0,0.0
10011,0,0,0,764,764,2720,1075.8,806.0,42.0
10012,0,0,2,9,409,833,339.4,408.66666666666663,0.0
10013,0,0,2,433,833,1668,1060.8666666666666,832.6666666666666,0.0
10014,0,0,0,401,401,2112,785.5,472.0,71.0
10016,0,0,2,799,1199,2422,1301.6666666666665,1198.6666666666665,0.0
10017,1,0,0,79,129,286,254.6,128.66666666666666,0.0
10018,0,0,1,0,162,400,267.2,161.33333333333331,0.0
10019,0,0,1,533,733,1524,1046.1,732.6666666666666,0.0
10020,0,0,0,0,0,44,0.0,0.0,0.0
10021,0,0,4,392,1192,2452,1445.7999999999997,1191.3333333333333,0.0
10022,0,0,4,19,819,1635,934.1999999999999,818.6666666666666,0.0
10023,0,1,6,1066,2366,4765,2433.5333333333333,2365.333333333333,0.0
10024,0,0,8,1199,2799,5642,2951.333333333333,2814.0,15.0
10025,0,0,3,2309,2909,6062,3391.2666666666664,2999.333333333333,91.0
10026,0,0,0,1464,1464,3170,1827.0666666666666,1481.3333333333333,18.0
10027,0,0,0,2424,2424,6182,2951.5999999999995,2424.0,0.0
10028,0,0,4,310,1110,2258,1632.7999999999997,1146.0,36.0
10029,0,0,0,2644,2644,6002,4836.9,2643.333333333333,0.0
10030,0,0,0,1248,1248,2520,2117.6,1248.0,0.0
10031,0,0,1,1373,1573,3350,3292.7,1572.6666666666665,0.0
10032,0,0,0,1492,1492,4714,2954.1,1492.0,0.0
10033,0,0,0,2138,2138,5031,3622.3,2137.333333333333,0.0
10034,0,0,0,1744,1744,4870,2902.4,1743.3333333333333,0.0
10035,0,0,0,1588,1588,3663,2861.3,1588.0,0.0
10036,0,0,0,423,423,1109,529.8666666666666,422.66666666666663,0.0
10037,0,0,1,493,693,1479,1283.0,713.3333333333333,21.0
10038,0,0,0,495,495,1297,709.1999999999999,514.6666666666666,20.0
10039,0,0,0,1266,1266,2689,2316.0,1265.3333333333333,0.0
10040,0,0,0,1314,1314,3908,2825.0,1313.3333333333333,0.0
10044,0,0,1,426,626,1315,585.5999999999999,626.0,0.0
10065,0,0,3,847,1447,2892,1366.7333333333331,1486.6666666666665,40.0
10069,1,0,2,10,460,926,428.59999999999997,460.0,0.0
10075,0,0,3,229,829,1664,840.1999999999999,828.6666666666666,0.0
10103,0,0,0,0,0,0,0.0,0.0,0.0
10110,0,0,0,0,0,0,0.0,0.0,0.0
10111,0,0,0,0,0,0,0.0,0.0,0.0
10112,0,0,0,0,0,0,0.0,0.0,0.0
10115,0,0,0,0,0,0,0.0,0.0,0.0
10119,0,0,0,0,0,0,0.0,0.0,0.0
10128,0,0,8,261,1861,3762,1886.3999999999999,1860.6666666666665,0.0
10152,0,0,0,0,0,0,0.0,0.0,0.0
10153,0,0,0,0,0,0,0.0,0.0,0.0
10154,0,0,0,0,0,0,0.0,0.0,0.0
10162,0,1,0,0,90,200,51.666666666666664,89.33333333333333,0.0
10165,0,0,0,0,0,0,0.0,0.0,0.0
