candidate_idx,zipcode,size,capacity_add,u5_add,latitude,longitude
294,06390,small,100,50,41.25512157074134,-72.0096453408503
319,10001,large,400,200,40.75019389446027,-73.99179203852106
371,10001,large,400,200,40.7384772070302,-74.00312840063886
417,10002,large,400,200,40.72143877123382,-73.98811230901222
444,10002,large,400,200,40.70803012971244,-73.98038109062867
476,10002,large,400,200,40.70844715895826,-73.99188318186687
499,10002,large,400,200,40.709772931019664,-73.98415717711778
525,10003,large,400,200,40.72661265095083,-73.99892982586746
551,10003,large,400,200,40.72661811254673,-73.98263706773567
554,10003,large,400,200,40.73074827578342,-73.99043488106057
593,10003,large,400,200,40.7354374361884,-73.98620931551649
601,10004,large,400,200,40.72206530081088,-73.99879378643313
623,10004,small,100,50,40.715685738399685,-74.00575838568153
747,10005,large,400,200,40.715265497301,-74.01769146969326
776,10005,large,400,200,40.712546153766674,-74.0100108693039
877,10006,small,100,50,40.701588508493096,-74.01724620313027
941,10007,large,400,200,40.70599668414507,-74.01532938822889
945,10007,large,400,200,40.7202345137406,-74.0048563871974
1104,10009,large,400,200,40.73501900659756,-73.97808731854279
1108,10009,large,400,200,40.72461820271474,-73.98446049081696
1123,10009,large,400,200,40.73173499338093,-73.9702598895214
1154,10009,large,400,200,40.73441450469686,-73.97952944360436
1160,10009,large,400,200,40.730643015314,-73.98734423470339
1235,10010,large,400,200,40.73071975722627,-73.98208806502691
1252,10010,large,400,200,40.74660252068945,-73.98609506845418
1256,10010,large,400,200,40.73182758228917,-73.97406386385123
1277,10010,large,400,200,40.73462506355075,-73.97615740444382
1299,10010,large,400,200,40.74317673381684,-73.97700135202162
1335,10011,large,400,200,40.740365427500926,-73.99385067041638
1345,10011,large,400,200,40.73888764502443,-73.99809206776678
1390,10011,large,400,200,40.73270976994473,-74.00244960785118
1400,10012,small,100,50,40.72418659806853,-74.00273062075861
1406,10012,large,400,200,40.73523984982133,-74.00175177191895
1453,10012,large,400,200,40.733730926044586,-74.00092301612172
1500,10013,large,400,200,40.71677924991392,-73.99990763394587
1522,10013,large,400,200,40.71371095276732,-74.00130105178421
1526,10013,large,400,200,40.72317140895341,-73.99376274348882
1576,10013,large,400,200,40.714525783752855,-74.00012265922122
1624,10014,large,400,200,40.74257199191248,-74.0152150578604
1720,10016,large,400,200,40.74101344507959,-73.9747369079526
1721,10016,large,400,200,40.740055952185465,-73.98435791315133
1730,10016,large,400,200,40.74436957676236,-73.97995540311284
1740,10016,large,400,200,40.75381470066502,-73.98544938045019
1758,10016,large,400,200,40.74262932739795,-73.97138070861142
1775,10016,large,400,200,40.74079944212736,-73.98128824800584
1834,10017,large,400,200,40.75148994419611,-73.96511218087198
1900,10018,large,400,200,40.74923091064591,-73.98261250330567
2005,10019,large,400,200,40.75900277324519,-73.99165595702395
2033,10019,large,400,200,40.76321083609227,-73.97774396880824
2053,10019,large,400,200,40.76718098847536,-73.97906384729043
2099,10019,large,400,200,40.76375797979312,-73.98928491128027
2201,10021,large,400,200,40.76856937218759,-73.95038905234678
2202,10021,large,400,200,40.759088805667325,-73.96852516813857
2212,10021,large,400,200,40.76147283182655,-73.9598596886203
2239,10021,large,400,200,40.77638328367525,-73.95471696978254
2255,10021,large,400,200,40.775442742944165,-73.95358119394938
2287,10021,large,400,200,40.77009659720024,-73.954242740509
2324,10022,small,100,50,40.76541793809451,-73.95824894819656
2328,10022,large,400,200,40.75096157147527,-73.96920088913349
2342,10022,large,400,200,40.74866701768499,-73.97278125412174
2351,10022,large,400,200,40.76550517825128,-73.9726253602107
2395,10022,large,400,200,40.76031401915154,-73.96016252520273
2408,10023,large,400,200,40.767783421447824,-73.9875567938126
2422,10023,large,400,200,40.76953626041786,-73.98202637847002
2428,10023,large,400,200,40.78583502162688,-73.98074249510663
2437,10023,large,400,200,40.76939156960776,-73.9769710899451
2443,10023,large,400,200,40.786272490181474,-73.97765852611099
2444,10023,large,400,200,40.7737502141852,-73.97784875549394
2453,10023,large,400,200,40.77655638135125,-73.98846831596914
2455,10023,large,400,200,40.78405766784536,-73.97936475475062
2476,10023,large,400,200,40.76830463866212,-73.97779453440444
2482,10023,large,400,200,40.76882599544446,-73.99210870519747
2491,10023,large,400,200,40.77101807155508,-73.97631478968307
2505,10024,large,400,200,40.79332609873392,-73.97057432687099
2507,10024,large,400,200,40.78277756706422,-73.97455563450035
2508,10024,large,400,200,40.7911973311753,-73.97871803889782
2509,10024,large,400,200,40.78659124057289,-73.96863933726934
2555,10024,large,400,200,40.78735748199723,-73.98108437234822
2556,10024,large,400,200,40.79171770609399,-73.9732489922817
2557,10024,large,400,200,40.79281366719923,-73.97304003047955
2559,10024,large,400,200,40.777512009295386,-73.9802412749465
2560,10024,large,400,200,40.77732516955133,-73.97779945858495
2577,10024,large,400,200,40.779049540657695,-73.96671196283543
2578,10024,large,400,200,40.78139882830964,-73.98516045707852
2579,10024,large,400,200,40.781976732404,-73.981365998882
2580,10024,large,400,200,40.78239292608435,-73.97928651537599
2612,10025,large,400,200,40.79815388306795,-73.96059328896219
2615,10025,large,400,200,40.799700021723375,-73.96335298193974
